 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,,,,,,
Periode 01-30 januari 2026,,,,,,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo,,,,,,,RINCIAN KAS BON,,,
,,,, Penerimaan , Pengeluaran ,,,,,,Tanggal,No.Bukti,,,,
,,"Bi BBM N 2821 TEO km 365525 tgl 05/01/2026 ltr 1.5 srigading, martopuro,singosari    ",Transportasi,,15000,"1,937,320",,,,,,,mas baim 30 k+  ,,,"30,000"
,,Bi BBM N 2113 EFD km 464519 tgl 05/01/2026 ltr 1.0 maintance purwodadi,Transportasi,,10000,"1,927,320",,,,,,,bu april krupuk ,,,"11,000"
,,Bi BBM N4559 EGM km 398399 tgl 05/01/2026 ltr 1.5 maintance sentul,Transportasi,,15000,"1,912,320",,,,,,,elpiji ,,,"30,000"
,,Bi BBM N 1195 FV tgl 05/01/2026 ltr 10.0 ,Transportasi,,100000,"1,812,320",,,,,24-Jan-26,,mas ridwan cashbone,,,"200,000"
,,Bi pembelian material tgl 05/01/2026- 1pcs gergaji @ 40.000 ,Material,,40000,"1,772,320",,,,,,,pak budi,,,"300,000"
,,Bi pembelian material tgl 05/01/2026- 1pcs paku @ 10.000,Material,,10000,"1,762,320",,,,,,,bu april adiva,,,"5,000"
,,Bi pembelian material tgl 05/01/2026- 1pcs sekrop @ 20.000,Material,,20000,"1,742,320",,,,,26-Jan-26,,pak budi cod,,,"160,000"
,,Bi pembelian material tgl 05/01/2026- 1pcs hit spry.p/blosm  @ 35.900,Material,,35900,"1,706,420",,,,,,,pak budi,,,"100,000"
,,Bi pembelian material tgl 05/01/2026- 1pcs idm ktg plastik  @ 300,Material,,300,"1,706,120",,,,,,,pak budi rokok,,,"50,000"
,,diskon pembelian,diskon,2000,,"1,708,120",,,,,,,pak budi badminon,,,"160,000"
,,Bi untuk pembayaran rokok tukang  tgl 05/01/2026,tukang,,23500,"1,684,620",,,,,,,pak budi cod,,,"182,000"
