,,,,,,
,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,
Periode 01-30 Februari 2026,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo
,,,, Penerimaan , Pengeluaran ,
,,Bi BBM N 3346 ABF km 675393 tgl 05/02/2026 ltr 2.0 maitance kepanjen,Transportasi,,"20,000","902,917"
,,"Bi BBM M  2569 AI km 548242 tgl 05/02/2026 ltr 2.0 maintance kasin, karangploso",Transportasi,,"20,000","882,917"
,,Bi BBM N 2821 TEO km 381924 tgl 05/02/2026 ltr 2.0 karangploso,Transportasi,,"20,000","862,917"
,,Bi BBM N 1124 IC km 15227 tgl 05/02/2026 ltr 15.0 sidoarjo,Transportasi,,"150,000","712,917"
,,Bi BBM N 2113 EFD km 480643 tgl 05/02/2026 ltr 3.0 maintance karangploso,Transportasi,,"30,000","682,917"
,,Bi untuk transportasi IKR Lawang tgl 05/02/2026,IKR Lawang,,"28,500","654,417"
,,Bi untuk transportasi IKR Lawang tgl 05/02/2026,IKR Lawang,,"29,500","624,917"
,,Bi untuk uang lelah backbone karangploso tim teknisi tgl 05/02/2026,lain-lain,,"30,000","594,917"
,,"Bi untuk uang lelah ke sidoarjo (ridwan,arga) tgl 05/02/2026",lain-lain,,"50,000","544,917"
6-Feb-26,6,Dana Masuk Operasional,dana masuk,520000,,"1,064,917"
,,Bi pembelian material tgl 06/02/2026- 1pcs rasio tarmoc 50:50 @ 40.000,Material,,40000,"1,024,917"
,,Bi BBM N 2110 EFD km 402167 tgl 05/02/2026 ltr 2.0 maintance tutur,Transportasi,,20000,"1,004,917"
,,Bi BBM N 2114 EFD km 374218 tgl 06/02/2026 ltr 2.0 maintance kertosari,Transportasi,,20000,"984,917"
,,Bi BBM N 3222 KK km 185923 tgl 06/02/2026 ltr 2.0 maintance kertosari,Transportasi,,20000,"964,917"
,,Bi BBM N 1124 IC tgl 06/02/2026 ltr 10.0 ,Transportasi,,"100,000","864,917"
,,Bi BBM N 3281 GG tgl 06/02/2026 ltr 2.5,Transportasi,,"25,000","839,917"
,,Bi BBM N 2418YBI km 594211 tgl 06/02/2026 ltr 1.5 IKR Lawang,IKR Lawang,,"15,000","824,917"
,,Bi untuk pembelian listrik server polaman idpel 502206440200 tgl 06/02/2026,Listrik Polaman,,"53,000","771,917"
7-Feb-26,7,dana Masuk Operasional,dana masuk,1537000,,"2,308,917"
,,Bi untuk pembelian rumah tangga tgl 07/02/2026 - 1pcs wipol lemon  @ 20.700,Rumah Tangga,,"20,700","2,288,217"
,,diskon pembelian,diskon,,"-7,800","2,296,017"
,,Bi untuk pembelian rumah tangga tgl 07/02/2026 - 2pcs lwk kopi murni  @ 10.200,Rumah Tangga,,"20,400","2,275,617"
,,Bi untuk pembelian rumah tangga tgl 07/02/2026 - 1pcs pikopi 3ini @ 11.800,Rumah Tangga,,"11,800","2,263,817"
,,Bi untuk pembelian rumah tangga tgl 07/02/2026 - 1pcs neo /c crml.mc  @ 10.800,Rumah Tangga,,"10,800","2,253,017"
,,Bi untuk pembelian rumah tangga tgl 07/02/2026 - 1pcs pikoppi gula aren @ 12.600,Rumah Tangga,,"12,600","2,240,417"
,,Bi untuk pembelian rumah tangga tgl 07/02/2026 - 1pcs idm ktg plstk  @ 300,Rumah Tangga,,300,"2,240,117"
,,diskon pembelian,diskon,,"-6,100","2,246,217"
,,Bi untuk pembelian rumah tangga tgl 07/02/2026 - 1pcs tempe B @ 18.000,Rumah Tangga,,"18,000","2,228,217"
,,Bi untuk pembelian rumah tangga tgl 07/02/2026 - 1pcs ikan mas @ 16.000,Rumah Tangga,,"16,000","2,212,217"
,,Bi untuk pembelian rumah tangga tgl 07/02/2026 - 1pcs opak@ 14.000,Rumah Tangga,,"14,000","2,198,217"
,,Bi untuk pembelian rumah tangga tgl 07/02/2026 - 1pcs plastik@ 4.000,Rumah Tangga,,"4,000","2,194,217"
,,Bi untuk pembelian rumah tangga tgl 07/02/2026 - 2pcs gantungan dinding @ 4.500,Rumah Tangga,,"9,000","2,185,217"
,,Bi untuk pembelian rumah tangga tgl 07/02/2026 - 1pcs gantungan dinding @ 1.500,Rumah Tangga,,"1,500","2,183,717"
,8,Bi untuk konsumsi maintance karangploso tgl 06/02/2026,konsumsi,,"6,800","2,176,917"
,,Bi pembelian material tgl 06/02/2026- 1pcs adaptor USB (wellcom)@ 50.000,Material,,"50,000","2,126,917"
,,Bi BBM N 3457 ABF km 48947 tgl 05/02/2026 ltr 2.5 batu,Transportasi,,"25,000","2,101,917"
,,Bi BBM DK 6912 AAW km 455024 tgl 05/02/2026 ltr 2.5 batu,Transportasi,,"25,000","2,076,917"
,,"Bi BBM N 3346 ABF km 677115 tgl 06/02/2026 ltr 2.0 maintance srigading, randuagung",Transportasi,,"20,000","2,056,917"
,,Bi BBM N 1196 FV km 0 tgl 06/02/2026 ltr 10.0 ,Transportasi,,"100,000","1,956,917"
,,Bi BBM N 2821 TEO km 382909 tgl 07/02/2026 ltr 1.5 lawang,Transportasi,,"15,000","1,941,917"
,,"Bi BBM N 3222 KK km 186026 tgl 07/02/2026 ltr 3.0 maintance rest area, arjosari,kasin",transportasi,,"30,000","1,911,917"
,,"Bi BBM N 6840 E km 988711 tgl 07/02/2026 ltr 2.0 maintance lawang,bedali,randuagung",Transportasi,,"20,000","1,891,917"
,,Bi BBM N 2110 EFD  km 402998 tgl 07/02/2026 ltr 1.5 maintance arjosari,Transportasi,,"15,000","1,876,917"
,,Bi BBM N 2109 km 440437 tgl 07/02/2026 ltr 2.0 martopuro,Transportasi,,"20,000","1,856,917"
,,Bi BBM N 4676 FW km 600435 tgl 07/02/2026 ltr 1.4 ,Transportasi,,"14,100","1,842,817"
,,Bi BBM N 3457 ABF km 48977tgl 07/02/2026 ltr 2.5 karangploso,Transportasi,,"30,000","1,812,817"
,,Bi untuk pembayaran etol tgl 07/02/2025 ,Transportasi,,"50,000","1,762,817"
,,Bi untuk pembayaran service printer tgl 07/02/2026,perawatan aset,,"150,000","1,612,817"
,,Bi untuk fee tarik kabel tim unsur tgl 07/02/2026,lain-lain,,"50,000","1,562,817"
,,Bi untuk uang lembur tgl 07/02/2026,lain-lain,,"70,000","1,492,817"
9-Feb-26,9,dana Masuk Operasional,dana masuk,324000,,"1,816,817"
,,Bi BBM N 1124 IC tgl 08/02/2026 ltr 10.0 ,Transportasi,,"100,000","1,716,817"
,,Bi BBM N 2418YBI km 594211 tgl 09/02/2026 ltr 1.5 IKR Lawang,IKR Lawang,,"15,000","1,701,817"
,,Bi BBM N 2113 EFD km 482305 tgl 09/02/2026 ltr 2.0 Malang,Transportasi,,"20,000","1,681,817"
,,Bi BBM N 2109 EFD km 441821 tgl 09/02/2026 ltr 1.5 karangploso,Transportasi,,"15,000","1,666,817"
,,Bi BBM N 2110 EFD km 404671 tgl 09/02/2026 ltr 2.0 maintance tutur,Transportasi,,"20,000","1,646,817"
,,Bi pembelian material tgl 09/02/2026- 1pcs converter 6F2E @ 170.000,Material,,"340,000","1,306,817"
,,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 09/02/2026,Listrik Server,,"203,000","1,103,817"
10-Feb,10,dana Masuk Operasional,dana masuk,444000,,"1,547,817"
,,"Bi BBM N 2114 EFD km 375901 tgl 09/02/2026 ltr 2.0 maintance yonkav,lawang",Transportasi,,"20,000","1,527,817"
,,"Bi BBM N 4559 EGM km 403799 tgl 09/02/2026 ltr 1.5 maintance yonkav,garuda",transportasi,,"15,000","1,512,817"
,,"Bi BBM N 3346 ABF km 677310 tgl 09/02/2026 ltr 2.0 maintance gajahan, bedali              ",transportasi,,"20,000","1,492,817"
,,"Bi BBM N 6840 E km 689212 tgl 10/02/2026 ltr 1.5 maintance randuagung,bedali",Transportasi,,"15,000","1,477,817"
,,Bi BBM N 2821 TEO km 384500 tgl 10/02/2026 ltr 2.0 lawang,Transportasi,,"20,000","1,457,817"
,,Bi BBM N 5810 VAB km 11333 tgl 10/02/2026 ltr 3.3 gadang sukun,Transportasi,,"40,000","1,417,817"
,,Bi BBM N 2418YBI km 0 tgl 10/02/2026 ltr 1.5 IKR Lawang,IKR Lawang,,"15,000","1,402,817"
