,,,,,,
,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,
Periode 01-30 Februari 2026,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo
,,,, Penerimaan , Pengeluaran ,
,,"Bi BBM N 6840 E km 987612 tgl 21/02/2026 ltr 2.0 maintance gondang,lawang",Transportasi,,"20,000","3,961,659"
,,Bi BBM N 2821 TEO km 389845 tgl 21/02/2026 ltr 1.0 maintance bedali,Transportasi,,"10,000","3,951,659"
,,Bi pembelian material tgl 21/02/2026- 5pcs solasi nasional@ 7.000,Material,,"35,000","3,916,659"
,,Bi pembelian material tgl 21/02/2026- 1pcs kabel tis@ 10.000,Material,,"10,000","3,906,659"
,,Bi pembelian material tgl 21/02/2026- 1pcs modem china mobil f663nv3a@ 130.000,Material,,"130,000","3,776,659"
,,Bi pembelian material tgl 21/02/2026- 2pcs modem xpon AZV-67v3@ 130.000,Material,,"260,000","3,516,659"
,,Bi pembelian material tgl 21/02/2026- 5pcs patch core @ 8.000,Material,,40000,"3,476,659"
,,Bi untuk pembayaran tagihan FIF no. 851000265523 angsr ke-27 tgl 21/02/2026,Cicilan Motor,,"776,000","2,700,659"
,,Bi untuk pembayaran fee IKR Tim  Haikal Unsur 19 user + imigrasi tgl 21/02/2026,fee,,"475,000","2,225,659"
23-Feb-26,21,dana masuk operasional,dana masuk,1573000,,"3,798,659"
,,dana masuk operasional,dana masuk,1601000,,"5,399,659"
,,Bi untuk konsumsi maintance karang kunci tgl 21/02/2026 ,konsumsi,,"50,000","5,349,659"
,,Bi untuk amplop tamu tgl 22/02/2026,lain-lain,,"25,000","5,324,659"
,,"Bi untuk pembayaran fee IKR Tim SMK Unsur 5 user + tarikk kabel,buat ODP,ODC tgl 21/02/2026",fee,,"275,000","5,049,659"
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 23/02/2026              ,Listrik Kantor,,"103,000","4,946,659"
,,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 23/02/2026,Listrik Server,,"203,000","4,743,659"
,,Bi BBM N 1124 tgl 22/02/2026 ltr 5.0 ,perjalanan bisnis,,"50,000","4,693,659"
,,Bi BBM N 2109 km 449462 tgl 22/02/2026 ltr 2.0,transportasi,,20000,"4,673,659"
,,Bi BBM N 4976 KW km 601435 tgl 23/02/2026 ltr 1.5 maintance karang kunci,Transportasi,,15000,"4,658,659"
,,Bi BBM N 1124 IC  tgl 23/02/2026 ltr 10.0 ,Transportasi,,100000,"4,558,659"
,,Bi BBM N 3222KK km 193091 tgl 23/02/2026 ltr 1.5 maintance lawang,transportasi,,15000,"4,543,659"
,,"Bi BBM N 2110 EFD km 697871 tgl 23/02/2026 ltr 1.5 maintance gondang, karang kunci,suko, bedali",transportasi,,15000,"4,528,659"
,,Bi pembelian material tgl 23/02/2026- 5pcs solasi nasional@ 7.000,Material,,"35,000","4,493,659"
,,Bi pembelian material tgl 23/02/2026- 1pcs  lev sunfest 9w@ 20.000,Material,,20000,"4,473,659"
,,Bi pembelian material tgl 23/02/2026- 1pcs stopkran awet@ 15.000,Material,,15000,"4,458,659"
,,Bi pembelian material tgl 23/02/2026- 1pcs sealtape @ 5.000,Material,,"5,000","4,453,659"
,,Bi pembelian material tgl 23/02/2026- 1pcs alkes @ 30.000,Material,,"30,000","4,423,659"
,,Bi pembelian material tgl 23/02/2026- 1pcs tang cliver striper @ 35.000,Material,,"35,000","4,388,659"
,,Bi pembelian material tgl 23/02/2026- 3pcs netlink A-B @ 85.000,Material,,"255,000","4,133,659"
,,Bi pembelian material tgl 23/02/2026- 1pcs kabel data micro @ 20.000,Material,,"20,000","4,113,659"
,,Bi untuk pembelian rumah tangga tgl 23/02/2026- 1pcs kresek jumbo @ 30.000,Rumah Tangga,,"30,000","4,083,659"
,,Bi untuk pembelian rumah tangga tgl 23/02/2026- 1pcs idm f/t 2 ply  @ 22.500,Rumah Tangga,,"22,500","4,061,159"
,,Bi untuk pembelian rumah tangga tgl 23/02/2026- 1pcs neo/c crml.mc@ 10.800,Rumah Tangga,,10800,"4,050,359"
,,Bi untuk pembelian rumah tangga tgl 23/02/2026- 1pcs neo/cf mchno@ 10.800,Rumah Tangga,,10800,"4,039,559"
,,Bi untuk pembelian rumah tangga tgl 23/02/2026- 1pcs sos p/lt apll@ 10.700,Rumah Tangga,,10700,"4,028,859"
,,Bi untuk pembelian rumah tangga tgl 23/02/2026- 1pcs mama/l jeruk@ 10.600,Rumah Tangga,,10600,"4,018,259"
,,Bi untuk pembelian rumah tangga tgl 23/02/2026- 1pcs idm ktg plstk@ 3.00,Rumah Tangga,,300,"4,017,959"
,,diskon pembelian,diskon,,-6100,"4,024,059"
,,Bi untuk pembayaran tagihan FIF no. 851000267723 angsr ke-27 tgl 23/02/2026,Cicilan Motor,,784000,"3,240,059"
,,Bi untuk konsumsi tamu tgl  23/02/2026,konsumsi,,50000,"3,190,059"
,,Bi untuk konsumsi tamu cleo tgl  16/02/2026,konsumsi,,20000,"3,170,059"
24- Feb,22,Bi BBM L 5851 DA km 10928 tgl 24/02/2026 ltr 2.0,transportasi,,20000,"3,150,059"
,,Bi BBM N 1124 IC  tgl 24/02/2026 ltr 10.0 ,Transportasi,,100000,"3,050,059"
,,Bi BBM N 2113 EFD km 491235 tgl 23/02/2026 ltr 2.0 maintance tutur,transportasi,,20000,"3,030,059"
,,"Bi BBM N 2113 EFD km 798272  tgl 24/02/2026 ltr 2.0 maintance rest area,leses,karangjuwet",Transportasi,,20000,"3,010,059"
,,Bi BBM N 2113 EFD km 788371  tgl 24/02/2026 ltr 1.5 maintance girimuyo,Transportasi,,15000,"2,995,059"
,,Bi BBM N 2668 GM  km 510409 tgl 24/02/2026 ltr 1.5 maintance karangploso,transportasi,,15000,"2,980,059"
,,Bi BBM N 2110 EFD km 412471 tgl 24/02/2026 ltr 1.0 IKR Lawang,IKR Lawang,,10000,"2,970,059"
,,Bi pembelian material tgl 24/02/2026- 1pcs evrdy AA mrh @ 14.500,Material,,14500,"2,955,559"
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 24/02/2026              ,Listrik Kantor,,203000,"2,752,559"
25-Feb,23,dana masuk operasional,dana masuk,2475000,,"5,227,559"
,,Bi untuk pembayaran perizinan kabel bedali indah tgl 25/02/2026,izin,,"250,000","4,977,559"
,,Bi pembelian material tgl 25/02/2026- 1pcs hit spay lily  @ 28.000,Material,,28000,"4,949,559"
,,diskon pembelian,diskon,,-2100,"4,951,659"
,,Bi pembelian material tgl 25/02/2026- 1pcs adaptor 5v kotak @ 15.000,Material,,15000,"4,936,659"
,,Bi pembelian material tgl 25/02/2026- 3pcs modem f663nv9+adaptor @ 125.000,Material,,375000,"4,561,659"
,,diskon pembelian,diskon,,-5000,"4,566,659"
,,Bi untuk perawatan  kendaraan isi angin  N 1124 IC tgl 25/02/2026,Perawatan Kendaraan,,20000,"4,546,659"
,,"Bi untuk konsumsi pembangunan ODP,migrasi bedali indah tgl 25/02/2026 ",konsumsi,,55000,"4,491,659"
,,Bi BBM M 2369AI km 58891 tgl 25/02/2026 ltr 1.5 Rest area,transportasi,,15000,"4,476,659"
,,Bi BBM N 3281 GG km 555724 tgl 25/02/2026 ltr 1.0 lawang,transportasi,,"10,000","4,466,659"
,,"Bi BBM N 2110 km 413347  tgl 25/02/2026 ltr 1.5 maintance alam hijau, randu telu, randuagung",transportasi,,"15,000","4,451,659"
,,Bi BBM N 3222 KK km 196032 tgl 25/02/2026 ltr 1.5  maintance Rest area,transportasi,,"15,000","4,436,659"
,,Bi untuk pembayaran tagihan FIF no. 851000267823 angsr ke-27 tgl 25/02/2026,Cicilan Motor,,792000,"3,644,659"
26-Feb-26,24,dana masuk operasional,dana masuk,2320000,,"5,964,659"
,,Bi pembelian ATK tgl 26/02/2026- 1pcs bulpoin merah @ 2.500,ATK,,"2,500","5,962,159"
,,Bi pembelian ATK tgl 26/02/2026- 1pcs alfa DB fm TP@ 20.500,ATK,,"20,500","5,941,659"
,,Bi BBM N 2821 TEO  km 39200 tgl 25/02/2026 ltr 1.5 maintance lawang,transportasi,,15000,"5,926,659"
,,Bi BBM M 2369AI km 58891 tgl 26/02/2026 ltr 1.5 Rest area,transportasi,,10000,"5,916,659"
,,Bi BBM P 2616 UC km 8316 tgl 26/02/2026 ltr 1.5 Lawang,transportasi,,15000,"5,901,659"
,,Bi BBM N 4559 EGM  km 414399 tgl 26/02/2026 ltr 1.5 maintance bantaran,transportasi,,15000,"5,886,659"
,,"Bi BBM N 2110 EFD  km 679721 tgl 26/02/2026 ltr 2.0 maintance kunci,alam hijau, randu telu",transportasi,,20000,"5,866,659"
,,Bi BBM N 2668 GM  km 5101459 tgl 26/02/2026 ltr 1.5 maintance srigading,transportasi,,15000,"5,851,659"
,,Bi BBM N 3346 km 683218 tgl 26/02/2026 ltr 1.5 maintance srigading,transportasi,,15000,"5,836,659"
,,Bi BBM N 2113 EFD  km 491793 tgl 26/02/2026 ltr 1.0 maintance bedali    ,transportasi,,10000,"5,826,659"
,,Bi untuk operasional meeting jakarta IJE tgl 25/02/2026,perjalanan bisnis,,"648,250","5,178,409"
,,Bi untuk operasional jemput dari jakarta IJE tgl 25/02/2026,perjalanan bisnis,,"200,000","4,978,409"
,,Bi untuk operasional starlite Redlaine ST Lawang dan ST Blimbing tgl 26/02/2026,perjalanan bisnis,,"610,000","4,368,409"
,,Bi untuk pembelian listrik server lawang idpel 513010031061 tgl 26/02/2026              ,Listrik server lawang,,"200,000","4,168,409"
,,Bi untuk pembayaran tagihan FIF no. 851000268123 angsr ke-27 tgl 26/02/2026,Cicilan Motor,,795000,"3,373,409"
,,Bi untuk konsumsi pembangunan ODP bedali indah tgl 26/02/2026 ,konsumsi,,50000,"3,323,409"
27-Feb,25,dana masuk operasional,dana masuk,"2,196,000",,"5,519,409"
,,Bi BBM N 2418 YBI km 0 tgl 25/02/2026 ltr 1.5 IKR Lawang,IKR Lawang,,15000,"5,504,409"
,,"Bi BBM N 2195 ECS  km 94050 tgl 16/02/2026 ltr 1.5 maintance randuagung, bedali,kunci",transportasi,,15000,"5,489,409"
,,Bi BBM N 2109 EFD  km 44509 tgl 18/02/2026 ltr 3.0 maintance lawang,transportasi,,30000,"5,459,409"
,,"Bi BBM N 5106 HO  km 276832 tgl 26/02/2026 ltr 1.0 maintance srigading, randuagung",transportasi,,15000,"5,444,409"
,,Bi BBM N 2109 EFD  km 452325 tgl 27/02/2026 ltr 2.0 sawojajar,transportasi,,20000,"5,424,409"
,,Bi BBM M 3696 AI  km 54485 tgl 27/02/2026 ltr 2.0 karangploso,transportasi,,20000,"5,404,409"
,,Bi BBM N 2110 EFD  km 413613 tgl 27/02/2026 ltr 1.0 maintance ODP bedali,transportasi,,10000,"5,394,409"
,,"Bi BBM N 2114 EFD  km 339787 tgl 27/02/2026 ltr 1.5 maintance kunci, gondang, randuagung",transportasi,,15000,"5,379,409"
,,Bi BBM N 3222 KK  km 198025 tgl 27/02/2026 ltr 1.5 maintance gajahan,transportasi,,15000,"5,364,409"
,,Bi BBM N2113 EFD  km 491996 tgl 27/02/2026 ltr 1.0 maintance lawang,transportasi,,10000,"5,354,409"
,,Bi BBM N 3346 ABF km 683917  tgl 27/02/2026 ltr 1.0 maintance bedali,transportasi,,10000,"5,344,409"
,,Bi pembelian material tgl 27/02/2026- 1pcs ABC LR-06 AA 2s@ 22.800,Material,,22800,"5,321,609"
,,Bi pembelian material tgl 27/02/2026- 1pcs spliter 1:4 @ 45.000,Material,,45000,"5,276,609"
,,Bi pembelian material tgl 27/02/2026- 4pcs patch core @ 8.000,Material,,32000,"5,244,609"
,,Bi pembelian material tgl 27/02/2026- 2pcs netlink A-B @ 85.000,Material,,170000,"5,074,609"
,,diskon pembelian,diskon,,-2000,"5,076,609"
,,Bi untuk operasional ke dinas PUPR tgl 27/02/2026,perjalanan bisnis,,300000,"4,776,609"
,,Bi untuk komisaris Bpk Jony Firmansyah tgl 27/02/2026,lain-lain,,256500,"4,520,109"
,,Bi untuk pembayaran tagihan FIF no. 851000265423 angsr ke-27 tgl 27/02/2026,Cicilan Motor,,800000,"3,720,109"
,,Bi untuk pembelian rumah tangga tgl 27/02/2026 - 5pcs oxy@ 12.000,Rumah Tangga,,60000,"3,660,109"
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 27/02/2026              ,Listrik Kantor,,203500,"3,456,609"
,,Bi untuk pembelian pulsa no CS 085804041950 tgl 27/02/2026,pulsa,,35000,"3,421,609"
,,Bi untuk konsumsi pembangunan ODP bedali indah tgl 27/02/2026 ,konsumsi,,20000,"3,401,609"
,,Bi untuk pembayaran pengiriman dokumen ke PT.Integras Jaringan tgl 27/02/2026,pengiriman dokumen,,12900,"3,388,709"
28-Feb,26,dana masuk operasional,dana masuk,160000,,"3,548,709"
,,dana masuk operasional,dana masuk,1600000,,"5,148,709"
,,dana masuk operasional,dana masuk,215000,,"5,363,709"
,,dana masuk operasional,dana masuk,9180000,,"14,543,709"
,,Bi BBM N 3281 GG km 556498  tgl 28/02/2026 ltr 1.5 srigading,transportasi,,15000,"14,528,709"
,,Bi BBM N 2821 TEO km 392450 tgl 28/02/2026 ltr 1.5 lawang,transportasi,,15000,"14,513,709"
,,Bi BBM N 2418 YBI km 594211 tgl 28/02/2026 ltr 1.5 maintance bedali,transportasi,,15000,"14,498,709"
,,Bi BBM N 3222 KK  km 197256 tgl 28/02/2026 ltr 1.5 maintance karang kunci,transportasi,,15000,"14,483,709"
,,Bi BBM N 2668 GM  km 510555 tgl 28/02/2026 ltr 1.5 maintance gajahan,transportasi,,15000,"14,468,709"
,,Bi BBM M 2369 AI  km 558891 tgl 02/02/2026 ltr 1.5 lawang,transportasi,,15000,"14,453,709"
,,Bi untuk parkir  pelangi lawang N 2821 TEO tgl 28/02/2026 ,transportasi,,2000,"14,451,709"
,,Bi pembelian material tgl 28/02/2026- 1pcs kabel tis @ 20.000,Material,,20000,"14,431,709"
,,Bi pembelian material tgl 28/02/2026- 5pcs modem f663nv9+ adaptor@ 125.000,Material,,625000,"13,806,709"
,,Bi pembelian material tgl 28/02/2026- 2pcs sleeve B @ 15.000,Material,,30000,"13,776,709"
,,diskon pembelian,diskon,,-5000,"13,781,709"
,,Bi pembelian ATK tgl 28/02/2026- 1pcs cutter @ 16.000,ATK,,16000,"13,765,709"
,,Bi pembelian ATK tgl 28/02/2026- 12pcs Bp standart AE @ 1.458,ATK,,"17,496","13,748,213"
,,Bi pembelian ATK tgl 28/02/2026- 1pcs clip trigonal @ 5.500,ATK,,"5,500","13,742,713"
,,Bi pembelian ATK tgl 28/02/2026- 2pack baterai ABC @ 10.500,ATK,,"21,000","13,721,713"
,,Bi pembelian ATK tgl 28/02/2026- 24pcs map L big  @ 1.250,ATK,,30000,"13,691,713"
,,Bi pembelian ATK tgl 28/02/2026- 1pcs cable tis @ 6.000,ATK,,6000,"13,685,713"
,,Bi pembelian ATK tgl 28/02/2026- 2pak keyring kenko@ 5.500,ATK,,"11,000","13,674,713"
,,Bi pembelian ATK tgl 28/02/2026- 12 pcs binder clip 155 @ 667,ATK,,8004,"13,666,709"
,,Bi pembelian ATK tgl 28/02/2026- 12 pcs binder clip 107 @ 334,ATK,,4008,"13,662,701"
,,Bi pembelian ATK tgl 28/02/2026- 12 pcs binder clip 200 @ 958,ATK,,11496,"13,651,205"
,,Bi pembelian ATK tgl 28/02/2026- 5 pcs selotip listrik@ 6.500,ATK,,32500,"13,618,705"
,,Bi pembelian ATK tgl 28/02/2026- 1rim kertas hvs   @ 35.500,ATK,,35500,"13,583,205"
,,Bi pembelian ATK tgl 28/02/2026- 1pcs tas spoundbond  @ 1.500,ATK,,1500,"13,581,705"
,,Bi untuk pembelian rumah tangga tgl 28/02/2026 - 2pcs p.petromak @ 10.000,Rumah Tangga,,20000,"13,561,705"
,,Bi untuk pembayaran service mesin cuci  tgl 28/02/2026,Rumah Tangga,,"425,000","13,136,705"
,,"Bi untuk pembayaran fee IKR,Maintance, Migrasi Tim Haikal SMK Unsur 14 user tgl 28/02/2026",fee,,"310,000","12,826,705"
,,"Bi untuk pembayaran fee IKR,Maintance, Migrasi Tim SMK Unsur tgl 28/02/2026",fee,,"445,000","12,381,705"
,,Bi untuk fee aktivasi ulang tgl 28/02/2026,fee,,50000,"12,331,705"
,,Bi untuk konsumsi pembangunan ODP bedali indah tgl 28/02/2026 ,konsumsi,,8000,"12,323,705"
,,Bi untuk acara kantor pak budi (sabtu) tgl 28/02/2026,lain-lain,,150000,"12,173,705"
,,Bi untuk beli bensin sosialisasi mangliawan  tgl 28/02/2026,lain-lain,,100000,"12,073,705"
,,Bi untuk beli beras 3kg @ 17.000 tgl 28/02/206,lain-lain,,51000,"12,022,705"
,,Bi untuk beli ayam lunak 20 @ 20.000 tgl 28/02/2026,lain-lain,,400000,"11,622,705"
,,Bi untuk kerdus plus samir 20@ 2500 tgl 28/02/2026,lain-lain,,"50,000","11,572,705"
,,Bi untuk beli jeruk untuk kardus 3 @ 34.000 tgl 28/02/2026,lain-lain,,"102,000","11,470,705"
,,,lain-lain,,,0
,,,lain-lain,,,0
,,,lain-lain,,,0
,,,lain-lain,,,0
,,,lain-lain,,,0
,,,lain-lain,,,0
,,,lain-lain,,,0
,,,lain-lain,,,0
,,,lain-lain,,,0
,,,lain-lain,,,0
,,,lain-lain,,,0
,,,lain-lain,,,0
,,,lain-lain,,,0
,,,lain-lain,,,0
,,,lain-lain,,,0
,,,lain-lain,,,0
,,,lain-lain,,,0
,,Bi untuk beli minum tgl 28/02/2026,lain-lain,,"100,000","11,370,705"
,,Bi untuk bu april buat ganti rugi tabrak mobil tgl 28/02/2026,lain-lain,,"200,000","11,170,705"
,,Bi untuk buapril bayar kopi anak kantor tgl 28/02/2026,lain-lain,,"100,000","11,070,705"
,,Bi untuk beli kabel fo buat krian tgl 28/02/2026,lain-lain,,"580,000","10,490,705"
,,Setor tunai BCA PT,lain-lain,,"6,750,000","3,740,705"
,,,,,,
,,,,"35,853,117","32,112,412","3,740,705"
,,,,,,
,,,,,,
,,,,,,
,,RINCIAN KAS BON,,,,
Tanggal,No.Bukti,,,,,
,,,,,,
2-Feb-26,,krupuk,,,"10,000",
,,rokok pak budi dan komisaris,,,"50,000",
3-Feb-26,,cod novell kacamata baca,,,"13,500",
,,soto daging pak budi,,,"15,000",
,,cod pak budi obat diaberis,,,"169,000",
4-Feb-26,,beli makan kucing,,,"19,000",
,,ibu april jajan,,,"5,000",
,,pak budi beli minum dan telur asin,,,"50,000",
5-Feb-26,,bu april bensin,,,"50,000",
,,ROKOK PAK BUDI,,,"23,000",
,,MAS BAIMM ROKOK SURUH PAK BUDI,,,"30,000",
,,COD NOVEL KAOS KAKI,,,"34,000",
,,LPG UANG CUST,,,"30,000",
6-Feb-26,,cod pak budi black garlic,,,"31,000",
,,pak budi dan budida,,,"200,000",
,,bu april sabun,,,"10,000",
,,bu april beli es,,,"5,000",
7-Feb-26,,BELI OBAT PAK BUDI (BU DIDA),,,"281,000",
,,rokok tamu,,,"50,000",
9 Feeb,,tambahan beli bakso rapat,,,"10,000",
,,pak budi cod,,,"85,500",
10-Feb-26,,rokokpak budi,,,"46,000",
11-Feb-26,,bu april untuk sangu noval,,,"50,000",
12-Feb-26,,rokok pak budi,,,"23,000",
13-Feb-26,,belanja pak budi ke mak ti,,,"55,000",
15-Feb-26,,slang bensin 5m  (bu april),,,"100,000",
,,bensin rush,,,"100,000",
,,Sangu Noval,,,"50,000",
16-Feb-26,,beli lpg 2x ,,,"40,000",
,,rokok pak budi ,,,"48,000",
,,cash bone ridwan,,,"50,000",
18-Feb-26,,cod pak budi,,,"21,000",
,,minyak goreng,,,"20,000",
,,rokok pak budi,,,"46,000",
19-Feb-26,,bu april belanja (MBG Kantor + karyawan ),,,"100,000",
,,rokok pak budi,,,"23,000",
20-Feb-26,,rokok pak budi,,,"24,000",
,,bu april belanja,,,"50,000",
21-Feb-26,,rokok pak budi,,,"24,000",
,,mb dida beli beras ,,,"103,000",
22-Feb-26,,rokok pak budi,,,"23,000",
,,kasih uang anak mbk riski ,,,"2,000",
23-Feb-26,,ibu april belanja,,,"100,000",
,,mie indomie pak budi,,,"7,000",
,,cash bone ridwan,,,"200,000",
26-Feb-26,,cod PT,,,"25,000",
,,bpk pijet ,,,"100,000",
27-Feb-26,,elpiji,,,"40,000",
28-Feb-26,,shirin,,,"21,000",
,,novel,,,"70,000",
,,pak budi ,,,"200,000",
,,kasbon riduwan,,,"50,000",
,,bu april beli tas,,,"75,000",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,"3,740,705",
,,,,,"  3,057,000.00 ",
,,Saldo Tunai                                                                                                                                                                 ,    ,,"  683,705.00 ",
,, , ,   ,,
