,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,
Periode 01-30 April 2026,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,kategori, Penerimaan , Pengeluaran ,Saldo,,,,,
06-April,4,Bi BBM N 2113 EFD km 509058 tgl 05/04/2026 ltr 1.0 ikr sekolahan,transportasi,,"10,000","2,804,800",,,,,
06-April,4,Bi BBM N 1124 IC tgl 06/04/2026 ltr 10.0 ,transportasi,,"100,000","2,704,800",,,,,
06-April,4,Bi parkir N 2110 EFD Bank Mandiri Singosari tgl 06/04/2026,transportasi,,"2,000","2,702,800",,,,,
06-April,4,Bi BBM N 2110 EFD km 431596 tgl 06/04/2026 ltr 1.5 maintace karangploso,transportasi,,"15,000","2,687,800",,,,,
06-April,4,Bi BBM N 2113 EFD km 510002 tgl 06/04/2026 ltr 2.5 maintace tutur,transportasi,,"25,000","2,662,800",,,,,
06-April,4,"Bi BBM N 6840 GE km 987621 tgl 06/04/2026 ltr 2.0 maintace bantaran,bedali,suko",transportasi,,"20,000","2,642,800",,,,,
06-April,4,"Bi BBM N 2668 GM km 401926 tgl 03/04/2026 ltr 1.5 maintace bantaran,bedali,suko",transportasi,,"15,000","2,627,800",,,,,
06-April,4,Bi pembelian material tgl 04/04/2026- 1pcs  talitis@ 15.000,Material,,"15,000","2,612,800",,,,,
06-April,4,Bi pembelian material tgl 06/04/2026- 1pcs  isolasi  nasional @ 9.000,Material,,"9,000","2,603,800",,,,,
06-April,4,Bi pembelian material tgl 06/04/2026- 1pcs  kleam 6m@ 6.000,Material,,6000,"2,597,800",,,,,
06-April,4,Bi pembelian material tgl 06/04/2026- 1pcs  adaptor 12v B @ 18.000,Material,,18000,"2,579,800",,,,,
06-April,4,Bi pembelian material tgl 06/04/2026- 2pcs bateray abc @ 4.000,Material,,8000,"2,571,800",,,,,
06-April,4,"Bi untuk pembayaran fee IKR TIM SMK Unsur ikr,maintance tgl 06/04/2026",fee,,"1,250,000","1,321,800",,,,,
06-April,4,Bi untuk konsumsi mantaince karangploso tgl 06/04/2026,konsumsi,,"12,800","1,309,000",,,,,
7-April,5,Bi untuk konsumsi kantor tgl 07/04/2026,konsumsi kantor,,"105,000","1,204,000",,,,,
7-April,5,Bi untuk konsumsi tarik kabel ODC randutelu tgl 07/04/2026,konsumsi,,"50,000","1,154,000",,,,,
7-April,5,Bi BBM N 2113 EFD km 505285 tgl 01/04/2026 ltr 1.0 maintance song-song,transportasi,,"10,000","1,144,000",,,,,
7-April,5,Bi BBM N 6840 GE km 698681 tgl 01/04/2026 ltr 1.5 maintance arjosari,transportasi,,"15,000","1,129,000",,,,,
7-April,5,Bi BBM N 2418 km 356342 tgl 01/04/2026 ltr 1.5 purwosari,transportasi,,"15,000","1,114,000",,,,,
7-April,5,Bi BBM N 2109 EFD km 472185 tgl 01/04/2026 ltr 2.0,transportasi,,"20,000","1,094,000",,,,,
7-April,5,"Bi BBM N 2418 YBI km 549211 tgl 02/04/2026 ltr 2.0 maintance temenggungan,gondang",transportasi,,"20,000","1,074,000",,,,,
7-April,5,Bi BBM P 2616 UC km 80301 tgl 07/04/2026 ltr 2.0 CSR sekolahan singosari,transportasi,,"20,000","1,054,000",,,,,
7-April,5,"Bi BBM M 2369 AI tgl 07/04/2026 ltr 2.0 purwodadi, singosari,lawang",transportasi,,"20,000","1,034,000",,,,,
7-April,5,"Bi BBM 2113 EFD km 512055tgl 07/04/2026 ltr 2.0 mantance gondang,malang",transportasi,,"20,000","1,014,000",,,,,
7-April,5,Bi BBM 2760 ABO km 53259 tgl 07/04/2026 ltr 3.0 maintance ngadipuro,transportasi,,"30,000","984,000",,,,,
7-April,5,Bi BBM N 1124 IC tgl 07/04/2026 ltr 10.0 ,transportasi,,"100,000","884,000",,,,,
7-April,5,Bi parkir N 2113 EFD Bank Mandiri Singosari tgl 07/04/2026,transportasi,,"2,000","882,000",,,,,
7-April,5,Bi untuk menjenguk karyawan sakit (tiwi) tgl 07/04/2026,lain-lain,,"200,000","682,000",,,,,
7-April,5,Bi pembelian material tgl 30/03/2026- 1pcs modem @ 135.000,Material,,"135,000","547,000",,,,,
